#key	style	ss_system_id
3-D Tetris (USA)	box-3D	11
Bound High (World) (Proto 2)	box-3D	11
Dragon Hopper (Japan, USA) (En,Ja) (Switch Online)	box-3D	11
Galactic Pinball (Japan, USA) (En)	box-3D	11
Golf (USA)	box-3D	11
Innsmouth no Yakata (Japan)	box-3D	11
Jack Bros. (USA)	box-3D	11
Mario Clash (Japan, USA) (En)	box-3D	11
Mario's Tennis (Japan, USA) (En)	box-3D	11
Nester's Funky Bowling (USA)	box-3D	11
Niko-chan Battle (Japan) (Proto)	box-3D	11
Panic Bomber (USA)	box-3D	11
Red Alarm (USA)	box-3D	11
SD Gundam - Dimension War (Japan)	box-3D	11
Space Invaders - Virtual Collection (Japan)	box-3D	11
Space Squash (Japan)	box-3D	11
Teleroboxer (Japan, USA) (En)	box-3D	11
V-Tetris (Japan) (En)	box-3D	11
Vertical Force (USA)	box-3D	11
Virtual Bowling (Japan) (En)	box-3D	11
Virtual Boy Wario Land (Japan, USA) (En)	box-3D	11
Virtual Fishing (Japan)	box-3D	11
Virtual Lab (Japan)	box-3D	11
Virtual League Baseball (USA)	box-3D	11
Virtual League Baseball 2 (USA) (Proto)	mixrbv2	11
Waterworld (USA)	box-3D	11
Zero Racers (Japan, USA) (En) (Switch Online)	box-3D	11
