#name	crc	size	key
3-ji no Wide Shou - 5 Gatsugou (Japan) (Magazine)	9d0148c7	524288	3-ji no Wide Shou - 5 Gatsugou (Japan) (Magazine)
3-ji no Wide Shou - 6 Gatsugou (Japan) (Magazine)	926acd7e	524288	3-ji no Wide Shou - 6 Gatsugou (Japan) (Magazine)
AK LIVE Hit Gang (1995-4-28) + Game Tora no Ooana (1995-4-28) (Japan) (SoundLink Magazine)	b657d92b	1048576	AK LIVE Hit Gang (1995-4-28) + Game Tora no Ooana (1995-4-28) (Japan) (SoundLink Magazine)
AK LIVE Hit Gang (Japan) (1995-5-30) (Magazine)	3c94d46a	524288	AK LIVE Hit Gang (Japan) (1995-5-30) (Magazine)
AK LIVE Hit Gang (Japan) (1995-6-28) (SoundLink Magazine)	06bca8c0	1048576	AK LIVE Hit Gang (Japan) (1995-5-30) (Magazine)
Actraiser (Japan) (5-14)	f340c344	1048576	Actraiser (Japan) (5-14)
Actraiser (Japan) (9-12)	b9a968ff	1048576	Actraiser (Japan) (5-14)
Albert Odyssey (Japan) (5-31)	0e89fa41	1048576	Albert Odyssey (Japan) (5-31)
Albert Odyssey (Japan) (8-23)	0a3c31dd	1048576	Albert Odyssey (Japan) (5-31)
Arkanoid - Doh It Again (Japan) (En) (4-10)	47921f29	1048576	Arkanoid - Doh It Again (Japan) (En) (4-10)
Arkanoid - Doh It Again (Japan) (En) (4-12) [b]	7e79c43e	524288	Arkanoid - Doh It Again (Japan) (En) (4-10)
B Dash - 2 Gatsugou (Japan) (Magazine)	3322b816	1048576	B Dash - 2 Gatsugou (Japan) (Magazine)
B Dash - 3 Gatsugou (Japan) (Magazine)	3494e10f	1048576	B Dash - 3 Gatsugou (Japan) (Magazine)
BS Dragon Quest I (Japan) (Rev 1) (SoundLink)	879d105f	1048576	BS Dragon Quest I (Japan) (SoundLink)
BS Dragon Quest I (Japan) (Rev 2) (SoundLink)	4a5593d8	1048576	BS Dragon Quest I (Japan) (SoundLink)
BS Dragon Quest I (Japan) (SoundLink)	5c12f47e	1048576	BS Dragon Quest I (Japan) (SoundLink)
BS F-Zero Grand Prix - Dai-1-shuu - Knight League (Japan) (11-1) (SoundLink)	64a67ad5	1048576	BS F-Zero Grand Prix - Dai-1-shuu - Knight League (Japan) (11-1) (SoundLink)
BS F-Zero Grand Prix - Dai-1-shuu - Knight League (Japan) (11-3) (SoundLink)	83034d82	1048576	BS F-Zero Grand Prix - Dai-1-shuu - Knight League (Japan) (11-1) (SoundLink)
BS F-Zero Grand Prix - Dai-2-shuu - Queen League (Japan) (SoundLink)	d81b85d7	1048576	BS F-Zero Grand Prix - Dai-2-shuu - Queen League (Japan) (SoundLink)
BS F-Zero Grand Prix - Dai-3-shuu - King League (Japan) (11-19) (SoundLink)	8fcc8355	1048576	BS F-Zero Grand Prix - Dai-3-shuu - King League (Japan) (3-20) (SoundLink)
BS F-Zero Grand Prix - Dai-3-shuu - King League (Japan) (3-20) (SoundLink)	43338739	1048576	BS F-Zero Grand Prix - Dai-3-shuu - King League (Japan) (3-20) (SoundLink)
BS F-Zero Grand Prix - Dai-4-shuu - Ace League (Japan) (11-25) (SoundLink)	7442ad93	1048576	BS F-Zero Grand Prix - Dai-4-shuu - Ace League (Japan) (11-25) (SoundLink)
BS F-Zero Grand Prix - Dai-4-shuu - Ace League (Japan) (Premiere) (1997-1-19) (SoundLink)	ab4a85a8	1048576	BS F-Zero Grand Prix - Dai-4-shuu - Ace League (Japan) (11-25) (SoundLink)
BS F-Zero Grand Prix 2 - Dai-1-shuu (Japan) (SoundLink)	96012305	1048576	BS F-Zero Grand Prix 2 - Dai-1-shuu (Japan) (SoundLink)
BS F-Zero Grand Prix 2 - Practice (Japan) (10-23)	14756b56	1048576	BS F-Zero Grand Prix 2 - Practice (Japan) (6-7)
BS F-Zero Grand Prix 2 - Practice (Japan) (12-6)	57b1c3ed	1048576	BS F-Zero Grand Prix 2 - Practice (Japan) (6-7)
BS F-Zero Grand Prix 2 - Practice (Japan) (3-13)	092d8989	1048576	BS F-Zero Grand Prix 2 - Practice (Japan) (6-7)
BS F-Zero Grand Prix 2 - Practice (Japan) (5-17)	30cdd029	1048576	BS F-Zero Grand Prix 2 - Practice (Japan) (6-7)
BS F-Zero Grand Prix 2 - Practice (Japan) (6-7)	b86dd6a2	1048576	BS F-Zero Grand Prix 2 - Practice (Japan) (6-7)
BS Famitsu Magazine Kawara-ban 4-27 Gou (Japan) (Magazine)	d8bc7bea	524288	BS Famitsu Magazine Kawara-ban 4-27 Gou (Japan) (Magazine)
